Brand,Series,,,Wattages,Tier,Year,,Size,ATX Ver.,Input Range,Modularity,Efficiency,Topology,,,ODM,Platform Code,Notes
,X Silent,Edge Plat.,North America,850W,A+,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Cooler Master,Custom,Rated for 850W under 115VAC and advertised as 850W in North America.
,,,Global,1100W,A+,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Cooler Master,Custom,"Rated for 1100W under 230VAC, but can still be used under 115VAC for 850W."
,,MAX Platinum,,1300W,A+,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Cooler Master,Custom,Same platform as the Edge Platinum but with active cooling; full 1300W rating regardless of input range.
,XG,Platinum,,650/750/850W,A+,2021,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,XHY,2011XG (Custom),"Same as the Plus Platinum without the screen, ARGB fan, or digital control."
,,Plus Platinum,,650/750/850W,A+,2021,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,XHY,2011XG (Custom),"Built-in screen, ARGB fan, and digital fan control and monitoring via MasterPlus software."
,,,,,,,,,,,,,,,,,,
Corsair,AX,,,850/1000W,A+,2018,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,Seasonic,Modified Prime Titanium,Grey label
,AX-i,,,1600W,A+,2018,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,Flextronics,Custom,"Grey label; totem pole PFC, fully digital aside from 5VSB."
,CS (Black Label),,,750W,B-,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HEC,TPK,SI model for Chinese market
,CV (Black Label),,,450/550W,D,2019,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,HEC,VS upd. to Bronze,
,,,,650/750W,C,2019,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,HEC,Custom,
,CX-m,2013 (Green Label),,430/500/600W,E,2013,,ATX,ATX 2.x,Full,Semi,B,DF,PR,GR,CWT,DSA III,"Green ""CX"" lettering on black label. 85C caps all around, 30C rated operating temp, avoid."
,,,,750/850W,C-,2013,,ATX,ATX 2.x,Full,Semi,B,DF,SR,DC-DC,CWT,PUQ-B,"Green ""CX"" lettering on black label. Detiered to C- due to age."
,,2017 (Gray Label),,450/550/650W,C+,2017,,ATX,ATX 2.x,Full,Semi,B,DF,SR,DC-DC,CWT,Custom,Grey label
,,,,750/850W,C+,2017,,ATX,ATX 2.x,Full,Semi,B,DF,SR,DC-DC,CWT,PUQ-B,
,,2021 (Black Label),,550/650/750W,C+,2021,,ATX,ATX 2.x,Full,Semi,B,DF,SSR,DC-DC,CWT,CSB-A,
,,"2025 (Black Label, ATX 3.1)",,650/750W,B-,2025,,ATX,ATX 3.x,Full,Full,B,LLC,PR,DC-DC,HEC,Custom,"Poor ripple suppression on the minor rails. Uses semi-digital PFC, 7 year warranty. Can get loud (in excess of 40dbA) under heavy load."
,"CX
(Non-Modular)",2013 (Green Label),,430/500/600W,E,2013,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,CWT,DSA III,"Green ""CX"" lettering on black label. 85C caps all around, 30C rated operating temp, avoid."
,,,,750W,C-,2013,,ATX,ATX 2.x,Full,No,B,DF,SR,DC-DC,CWT,PUQ-B,"Green ""CX"" lettering on black label. Detiered to C- due to age."
,,2016 (Gray Label),,450-750W,B,2016,,ATX,ATX 2.x,Full,No,B,LLC,SR,DC-DC,CWT,Custom,"Black ""CX"" lettering on gray label; Double-sourced between GW & CWT; technically qualified for 80+ Silver but badged as Bronze."
,,,,,B,2016,,ATX,ATX 2.x,Full,No,B,LLC,SR,DC-DC,Great Wall,modified GW-ATXBL,
,,2023 (Black Label),,450/550W,D,2024,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,HEC,VS upd. to Bronze,"White ""CX"" lettering on black label; Identical to the CV aside from exterior design."
,,,,650/750W,C,2024,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,HEC,Custom,
,CX-F RGB,,,550/650/750W,B,2020,,ATX,ATX 2.x,Full,Full,B,LLC,SR,DC-DC,HEC,Custom,Technically 80+ Silver without RGB on
,HX,,2017,750/850/1000W,A+,2018,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,Custom,Gray label. Per-connector 40A OCP when multi rail is enabled
,,,,1200W,A+,2018,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,Custom,
,,,2022,750/850W,A*,2022,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,Custom,"Never officially released. A few hundred were sold on Newegg for a while. Tier is speculative, as it will likely never be reviewed."
,HX-i,,2013,750/850/1000W,A,2013,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,Custom,Blue label
,,,,1200W,A,2013,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,Custom,
,,,2022,1000W,A+,2022,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT heavily mod.,"Black label, triangle fan grille. Digital monitoring and semi-passive operation controlled via USB-C connector in software."
,,,,1500W,A+,2022,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT heavily mod.,
,,,2023,1000W,A+,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT heavily mod.,Refresh with included 12V-2x6 cable and listed ATX 3.1 compliance. Actual design appears to be the same internally.
,,,,1200W,A+,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT heavily mod.,
,,,,1500W,A+,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT heavily mod.,
,,,2025,1000W,A,2025,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT heavily mod.,
,,,,1200W,A+,2025,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT heavily mod.,"Minor changes on the primary side, overall very similar; merely a refresh. Embossed cables instead of flat cables from older generations. (Fancy)"
,,,,1500W,A,2025,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT heavily mod.,
,RM-e,,2022,750/850/1000W,B+,2022,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HEC,Custom,"750/850W: 140mm, 1000/1200W: 150mm. 2023 version includes 12VHPWR cable. Early reports of coil whine and premature failures/DOAs, but supposedly fixed."
,,,"2023 (""Gen 5"")",750-1200W,B+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,HEC,Custom,
,,,"2025 (""ATX 3.1"")",650-1000W,B+,2025,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,HEC,Custom,650W has 300W 12V-2x6 cable. Poor 3.3v transient response. All use Hong Hua rifle-bearing fans. Y-shaped fan grille perforations.
,RM-i,,,650W,A+,2015,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,Grey label; RM-x v1 with digital monitoring features
,,,,750/850/1000W,A+,2015,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,
,RM-i Special Edition,,,1000W,A+,2016,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom; same as ^,"10th anniversary, only 100 units, white casing, white LEDs inside"
,RM-x,2015,Black,550/650W,A,2015,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,"v1, 160mm long"
,,,,750/850W,A,2015,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,
,,,,1000W,A,2015,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,"v1, 180mm long. Production continued far past other 2015 RM-x units as the 2018 revision has no 1kW variant."
,,,White,750/850W,A,2015,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,"v1, 180mm long, individually sleeved cables; custom Corsair rifle bearing fan."
,,2018 / v2,Black,550-850W,A,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,"v2, 160mm long, doesn't have 1000W version; custom Corsair rifle bearing fan."
,,,White,750/850W,A,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,"v2, 160mm long; custom Corsair rifle bearing fan."
,,2021,,650/750/850W,A+,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,"160mm length, Sunon Magnetic Levitation (Maglev) bearing fan."
,,,,1000W,A+,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,"180mm length, Sunon Magnetic Levitation (Maglev) bearing fan."
,,2024 (ATX 3.1),,750/850/1000W,A+,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,160mm length
,,Shift,,750-1200W,A+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,Modular inputs on side of PSU rather than the rear. Use caution and check case clearances.
,RM,2019 (Gray Label),,650/750/850W,B+,2019,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,Grey label; costdown RM-x. Out-of-spec 3.3V transients. Hong Hua rifle bearing fan. Meets all other tier A requirements.
,,2021,Black,650/750/850W,B+,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,Triangular fan grille perforations. Hong Hua rifle bearing fan. Performance is assumed to be the same as 2019 version.
,,,White,750/850W,B+,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,Triangular fan grille perforations. Hong Hua rifle bearing fan. Performance is assumed to be the same as 2019 version.
,,2023 (Black Label),,650W,B+,2023,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HEC,Custom,"140mm long. Same design as the 2023 RMe, without an included 12VHPWR cable."
,SF,Gold,,450/600W,A,2016,,SFX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Great Wall,Custom,Flat cables
,,Platinum 2019,,450/600/750W,A,2019,,SFX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Great Wall,Modified SF Gold platform,"Braided cables, some units manufactured between Oct. 2019 to Mar. 2020 (lot codes 194448xx to 201148xx) recalled for potential failures."
,,Platinum 2024 (ATX 3.1),,750/850/1000W,A+,2024,,SFX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Great Wall,Custom,"Class-leading performance, excellent build quality, relatively quiet for the capacity."
,SF-L,,,850/1000W,A,2023,,SFX-L,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Great Wall,Custom,
,TX (Black Label),,,750-1200W,B,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Great Wall,modified GW-ATXBL,Black label; China only
,TX-m,2017 (Gray Label),,550-850W,A,2017,,ATX,ATX 2.x,Full,Semi,G,LLC,SR,DC-DC,Great Wall,modified GW-ATXBL,Gray label
,,2021 (Black Label),,550/650/750W,A,2021,,ATX,ATX 2.x,Full,Semi,G,LLC,SR,DC-DC,Great Wall,Custom,Gray label
,Vengeance,,Bronze,400/500W,C,2016,,ATX,ATX 2.x,Full,No,B,DF,SR,DC-DC,CWT,Custom,Gray label
,,,,550/650W,C,2016,,ATX,ATX 2.x,Full,Semi,B,DF,SR,DC-DC,CWT,Custom,Gray label
,,,Silver,650/750W,B,2018,,ATX,ATX 2.x,Full,Semi,S,LLC,SR,DC-DC,HEC,Custom,Gray label; toggleable per-cable OCP.
,VS,Gray Label,,400/500/600W,D,2016,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,HEC,,Grey label
,,,,450/550/650W,E,2017,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,HEC,,"Grey label; OCP doesn't work properly, allowing the voltages to fall out of spec, very poor ripple suppression on 5V, failed transient testing on 3.3V"
,,Black Label,,500/600W,D,2020,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,HEC,,
,WS Platinum,,,3000W,A*,2025,,ATX,ATX 3.x,230V,Full,P,LLC,SR,DC-DC,Great Wall,GW-EPS3000BL 94+,230V only input due to being extremely high capacity. Quad 12V-2x6.
,,,,,,,,,,,,,,,,,,
Cougar,Atlas,,2023,600/650/750W,C-,2023,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,XHY,2107,Mediocre quality capacitors.
,,,2024,450-750W,C*,2024,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,CE Link,,
,Auric,,,650/750W,B*,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HEC,,Limited info
,BXM,,,700/850W,C,2020,,ATX,ATX 2.x,Full,Semi,B,DF,SR,DC-DC,HEC,,
,GEC,,,550-850W,C*,2022,,ATX,ATX 2.x,230V,No,G,LLC,SR,DC-DC,XHY,2008 costdown,Limited info
,GES,,,550/650/750W,B*,2021,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,XHY,,Limited info
,GEM,,,1050/1200W,B*,2022,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CE Link,TT PF1 H.W. (PCFG-A-FA?),Limited info
,GEX,-,,1050W,B,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,1709,
,,,,650/750/850W,B,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,1908,
,,X2 (ATX 3.0),,850/1000W,B+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,XHY,2205,
,,2024 (ATX 2.x),,650/750/850W,B*,2024,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Unknown,,
,,Pro (ATX 3.1),,650/750/850W,B*,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,XHY,,
,GLE,,,1000/1200W,B*,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CE Link,,
,,,,650/750/850W,B*,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CE Link?,,
,GST,,,650/750/850W,B*,2024,,ATX,ATX 3.x,Full,No,G,LLC,SR,DC-DC,Unknown,,
,GX-F,-,,550/650/750W,A,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HEC,TPK,
,,Aurum,,550/650/750W,A-,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HEC,TPK,Costdown GX-F
,GX-S (2016),,,450-750W,C,2016,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,High Power,Astro Lite HPM,
,LX,,,600W,C,2016,,ATX,ATX 2.x,Full,Full,B,DF,SR,DC-DC,HEC,,
,LLC,,,750W,B+,2019,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HEC,TPK,Appears to be limited to the Chinese market.
,Polar,,X2 (ATX 3.0),1050/1200W,A,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,XHY,1709 upd. to ATX 3.0/3.1,
,,,-,1050/1200W,A,2022,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,XHY,1709,
,STE,,,400/500/600W,E,2019,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,HEC,,
,STX,,,350-750W,E,2016,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,HEC,,
,VTC,,,400/500/600W,E,2019,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,HEC,,
,VTE,-,,400/500/600W,C-,2017,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,HEC,,
,,X2,,600-750W,C-,2021,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,CE Link,,
,,X2 ver.2,,600-750W,C,2022,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,XHY,2107,
,VTK,,,550W,E,2021,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,Unknown,,
,VTX,,,400-700/450W,E,2016,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,HEC,,
,XTC,,,400-650/750W,E,2021,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,CE Link,,
,,,,,,,,,,,,,,,,,,
DarkFlash,GS Bronze,,,550/650/750W,C,2021,,ATX,ATX 2.x,Full,Full,B,DF,SR,DC-DC,Guang Hai,GH356,"Platform is certified for Gold, might have only hit Bronze due to modular interface"
,Perfectmost (PMT),,,650/750/850W,B-,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Zhong Yuan,ZY009,"850W model demonstrates very poor excursion response in the 160% excursion test. Also, OCP, OPP, and OVP are set high on all rails."
,Upmost (UPT),,,1250W,B,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Zhong Yuan,ZY004,>50mv ripple suppression on 12V.
,,,,750/850W,A*,2024,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Zhong Yuan,GX-850/GX-1000,"Needs additional protections testing, but the platform showed extremely good performance in Cybenetics testing."
,Warcraft (WA),,,600/700/800W,E,2023,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Guang Hai?,,"OEM and platform is unconfirmed, unit is basically e-waste though."
,,,,,,,,,,,,,,,,,,
DeepCool (GamerStorm),Aurora,DA,,500/600/700W,E,2015,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,CWT,GPM,
,,DA-M,,500/600W,E,2021,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,CWT,GPM,
,Explorer,DE,,530W,F,2017,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Unknown,,"Extremely low 12V line output relative to total claimed capacity, basically only a 350W PSU; no 80+ or Cybenetics rating."
,Nova,DN,,450-650W,E,2015,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,CWT,GPT,Net graded to Tier E due to it being group regulated.
,"Gamer
Storm",DQ-M,-,650/750/850W,A-,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPU,"One EPS cable shares the same 12V rail with a PCIe cable, low hold up time, transient on the 3.3V rail/OPP needs tuning."
,,,V2L,850W,B-,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX,A few samples of the base platform died when subjected to sub-90VAC stress tests per JonnyGuru. Not suggested for use under 120VAC if you live in an area with frequent brownouts. Miserably fails in all of Aris' 3.3V transient response testing. Low quality MOSFETs used.
,,,,750W,B,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX,
,,,,650W,B,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX,
,,,V3L,750/850/1000W,A*,2022,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,2106,OTP isn't tested
,PF,,,700/750W,E,2023,,ATX,ATX 2.x,230V,No,W,DF,SR,DMA,Helly,ATX-0600,"Doesn't claim necessary protections, unknown components such as the capacitors."
,,,,350-650W,E,2022,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,Helly,ATX-0200,"Doesn't claim necessary protections, unknown components such as the capacitors."
,PK-D,,,450-850W,C,2022,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,CWT,GPG,Internals appear to be variable based on region/batch.
,PL-D,,,550W,C-,2024,,ATX,ATX 3.x,Full,No,B,DF,SR,DC-DC,Helly,ATX-0700T,"Subpar component quality, with highly set protections and OOS 3.3V transient response. Not quite ATX 3.X due to failing low load efficiency."
,,,,650W,C-,2024,,ATX,ATX 3.x,Full,No,B,DF,SR,DC-DC,Helly,ATX-0700T,"Subpar component quality, with poorly tuned protections, 5V OCP incorrectly set allows for >135mV of ripple. OOS 3.3V transient response."
,,,,750/800W,C-,2024,,ATX,ATX 3.x,Full,No,B,DF,SR,DC-DC,Helly,ATX-0700T,"Subpar component quality, with highly set protections and OOS 3.3V transient response."
,PM-D,,,500-850W,B-,2021,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,CWT,GPW,Protections are found to be working in GPW based units in similar or identical configurations.
,PN-D,,,550-850W,B-,2024,,ATX,ATX 3.x,Full,No,G,LLC,SR,DC-DC,CWT,GPW,Can come in white variants. Protections need tuning. ATX 3.0 refresh of the PM-D.
,PN-M,,,650-850W,B,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX ATX 3.0,"Can come in white variants. Mediocre fan, no SCP on -12V rail."
,,,,1000/1200W,B-,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSZ costdown,"OCP is set way too high on the minor rails, which led to failure of the unit during Aris' testing. Detier to B- unless verified fixed."
,PQ-G,,,750/850W,C+,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0500GB,Sleeve bearing fan.
,,,,1000/1200W,A-,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0800GB,"Protections need tuning, 5VSB regulation doesn't quite qualify for A tier."
,PQ-M,,-,650-1000W,A,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Seasonic,Focus GX,
,,,V2,750/850/1000W,A-,2025,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Seasonic,Focus GX ATX 3.1,"Very high inrush current, poorly tuned protections on the minor rails; otherwise decent electrical performance."
,PX,,G,850/1000/1200W,A+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSZ,850W model can come in white.
,,,P,1000/1300W,A+,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT,Semi-digital. Outstanding performance per Aris' review.
,,,,,,,,,,,,,,,,,,
Endorfy,Elementum E2,,(OEM/SI),350/450W,E,2018,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,CWT,GPB,
,,,Retail,550W,E,2018,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,CWT,GPB,
,Supremo Gold,,L2,550/650W,E,2016,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,SAMA,Forza Gold,Supremo Gold made for non-modularity. No OCP to be found in testing nor claimed.
,,,M2,550W,E,2016,,ATX,ATX 2.x,Full,Semi,G,LLC,SR,DC-DC,SAMA,Forza Gold,"Supremo Gold made for semi-modularity, necessary protections aren't claimed."
,,,FM2,650/750W,E,2017,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,SAMA,Forza Gold,"Supremo Gold made for full-modularity, necessary protections aren't claimed."
,,,FM5,650-1000W,C,2023,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,SAMA,920MC,"Platform visually appears identical to the 916MC platform used in the SAMA XF, which died during OCP testing per LTT Labs. Proceed with caution."
,,,FM6,850/1000W,B-,2025,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,SAMA,920MC upd. to ATX 3.1,The OCP and OPP triggering points are set way too high on all rails.
,,,,,,,,,,,,,,,,,,
Enermax,CyberBron,,-,500/600/700W,E,2020,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,CWT,GPM,
,,,III,750/850W,C,2025,,ATX,ATX 2.x,Full,No,B,DF,SR,DC-DC,Jiumeng,JM-670,"ATX 3.1 is claimed, but the unit fails to meet the spec due to poor ATX 3.1 excursion response. Treat as ATX 2.x."
,CyberG II,,,650W,C+*,2025,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,RSY,,
,,,,750/850W,C+*,2025,,ATX,ATX 3.x,Full,No,G,LLC,SR,DC-DC,RSY,A0154,"OCP is set way too high on all rails, especially the minor rails. Need further testing before tiering. Sleeve bearing fan."
,Digifanless,,,550W,B+,2015,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,Custom (Enermax designed),"Claims necessary protections but weren't evaluated in Aris' testing, OTP was kicked in during voltage regulation testing."
,MarbleBron,,-,550-850W,C-,2020,,ATX,ATX 2.x,Full,Semi,B,DF,PR,DC-DC,SANR,S-D,850W uses ARGB fan + housing and comes in black and white models. 3 year warranty.
,,,II,650/750/850W,C*,2025,,ATX,ATX 3.x,Full,Semi,B,DF,SR,DC-DC,Jiumeng,JM-670?,Not tiered until third-party internal shots are available. Most likely a semi-modular CyberBron III.
,MaxPro II,,,400-700W,E,2019,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,SANR,,Limited information.
,MaxTytan,,,750/800W,A-,2017,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,CWT,CST,Overall performance is not that great despite a capable platform. Platform just needs to be tuned better.
,,,,1050/1250W,A-,2018,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,CWT,CST,
,PlatiGemini,,,1200W,A,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,RSY,Custom,OCP originally set way too high; fixed in later reviews from July 2024. Excellent electrical performance. ATX 3.1 and ATX12VO compatible.
,Platimax D.F.,,,500/600W,E,2013,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Fortech,CM-GP600P,"No OCP on 12V, OCP on the minor rails and OPP are both set way too high to be effective, no OTP, poor build quality."
,,,,750-1200W,B+,2017,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,CST,"Solid electrical performance, however let down by poorly modulated protections and mediocre ripple performance."
,RevoBron,,-,500/600/700W,C-,2018,,ATX,ATX 2.x,Full,Semi,B,DF,SSR,DC-DC,CWT,CSB,"Single EPS cable, failing or near failing 3.3V transient response, hold-up time not within ATX specifications."
,,,ED2,500/600/700W,C-,2020,,ATX,ATX 2.x,Full,Semi,B,DF,SSR,DC-DC,CWT,CSB,"Same internals as the Revobron, simply a 2.0 refresh."
,Revolution,,III,650-1000W,A*,2025,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,RSY,A0155,"Internal shots are promising, but further testing is needed before tiering."
,,,Duo,600/700W,C*,2016,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,Yue Lin,,"Two fans, one at the top and one at the rear. Decent amount of unknown parts, no transient response testing to be found."
,,,SFX,650W,C+,2017,,SFX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSN,"Decent electrical performance let down by poor transient response, a sleeve bearing fan, and other miscellaneous problems."
,,,ATX 3.0,1000/1200W,A,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSZ,"No performance data, however platform is well reviewed with protections working in similar configs."
,,,X'T,430-730W,E,2014,,ATX,ATX 2.x,Full,Semi,G,DF,SR,DC-DC,CWT,DSAIV,Doesn't claim necessary protections (IC doesn't support over current either). Somewhat outdated.
,,,X'T II,450-750W,C+,2016,,ATX,ATX 2.x,Full,Semi,G,LLC,SR,DC-DC,CWT,GPS,Single EPS cable. Great electrical performance but OTP is not claimed.
,,,D.F. 12,750/850W,A-,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,RSY,XM01,122mm depth (extremely compact.)
,,,D.F. 2,850/1050/1200W,A,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,SANR,S-MZ,ATX 3.0 compliant; uses dual 8-pin to 12VHPWR.
,,,D.F. X,850/1050/1200W,B,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,SANR,S-MZ,"Transient response doesn't quite make it A tier, no direct protections testing."
,,,,1350/1650W,B,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,SANR,S-1700M A-J,
,,,D.F.,650W,A-,2019,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPU,"Ripple on 12V was shown at 52mV, all other requirements for tier A proper are met."
,,,,750/850W,A,2019,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPU,
,,,,,,,,,,,,,,,,,,
